Date,Location,Age,Count
2/18/1992,PRH,PUP,72
2/18/1992,PRH,DEADPUP,2
2/18/1992,PRH,WNR,42
3/3/1992,PRH,BULL-SA4,7
3/3/1992,PRH,SA1-3,7
3/3/1992,PRH,COW,8
3/3/1992,PRH,PUP,3
3/3/1992,PRH,DEADPUP,2
3/3/1992,PRH,WNR,99
3/3/1992,PRH,IMM,5
3/13/1992,PRH,BULL-SA4,2
3/13/1992,PRH,SA1-3,11
3/13/1992,PRH,COW,1
3/13/1992,PRH,PUP,1
3/13/1992,PRH,WNR,101
3/13/1992,PRH,IMM,40
12/12/1992,PRH,SA1-3,2
12/12/1992,PRH,IMM,328
12/22/1992,PRH,BULL-SA4,3
12/22/1992,PRH,SA1-3,39
12/22/1992,PRH,COW,4
12/22/1992,PRH,PUP,1
12/22/1992,PRH,IMM,73
12/24/1992,PRH,BULL-SA4,3
12/24/1992,PRH,SA1-3,28
12/24/1992,PRH,COW,5
12/24/1992,PRH,PUP,1
12/24/1992,PRH,IMM,66
1/2/1993,PRH,BULL-SA4,7
1/2/1993,PRH,SA1-3,27
1/2/1993,PRH,COW,38
1/2/1993,PRH,PUP,14
1/2/1993,PRH,DEADPUP,1
1/2/1993,PRH,IMM,43
1/5/1993,PRH,BULL-SA4,7
1/5/1993,PRH,SA1-3,26
1/5/1993,PRH,COW,49
1/5/1993,PRH,PUP,21
1/5/1993,PRH,DEADPUP,1
1/5/1993,PRH,IMM,28
1/19/1993,PRH,BULL-SA4,4
1/19/1993,PRH,SA1-3,14
1/19/1993,PRH,COW,135
1/19/1993,PRH,PUP,93
1/19/1993,PRH,DEADPUP,3
1/19/1993,PRH,IMM,17
1/21/1993,PRH,BULL-SA4,3
1/21/1993,PRH,SA1-3,13
1/21/1993,PRH,COW,133
1/21/1993,PRH,PUP,100
1/21/1993,PRH,DEADPUP,1
1/21/1993,PRH,WNR,3
1/21/1993,PRH,IMM,9
2/2/1993,PRH,BULL-SA4,6
2/2/1993,PRH,SA1-3,12
2/2/1993,PRH,COW,128
2/2/1993,PRH,PUP,111
2/2/1993,PRH,DEADPUP,3
2/2/1993,PRH,WNR,26
2/2/1993,PRH,IMM,4
2/3/1993,PRH,BULL-SA4,4
2/3/1993,PRH,SA1-3,11
2/3/1993,PRH,COW,133
2/3/1993,PRH,PUP,113
2/3/1993,PRH,DEADPUP,4
2/3/1993,PRH,WNR,28
2/3/1993,PRH,IMM,2
2/15/1993,PRH,BULL-SA4,4
2/15/1993,PRH,SA1-3,23
2/15/1993,PRH,COW,65
2/15/1993,PRH,PUP,57
2/15/1993,PRH,WNR,88
2/15/1993,PRH,IMM,6
2/16/1993,PRH,BULL-SA4,6
2/16/1993,PRH,SA1-3,15
2/16/1993,PRH,COW,56
2/16/1993,PRH,PUP,50
2/16/1993,PRH,WNR,93
2/16/1993,PRH,IMM,4
3/4/1993,PRH,BULL-SA4,4
3/4/1993,PRH,SA1-3,12
3/4/1993,PRH,COW,6
3/4/1993,PRH,PUP,3
3/4/1993,PRH,WNR,149
3/4/1993,PRH,IMM,1
3/5/1993,PRH,BULL-SA4,4
3/5/1993,PRH,SA1-3,21
3/5/1993,PRH,COW,4
3/5/1993,PRH,PUP,1
3/5/1993,PRH,WNR,146
3/5/1993,PRH,IMM,2
3/20/1993,PRH,BULL-SA4,1
3/20/1993,PRH,SA1-3,2
3/20/1993,PRH,COW,25
3/20/1993,PRH,WNR,122
3/20/1993,PRH,IMM,50
11/26/1993,PRH,SA1-3,5
11/26/1993,PRH,IMM,309
12/17/1993,PRH,BULL-SA4,2
12/17/1993,PRH,SA1-3,24
12/17/1993,PRH,COW,2
12/17/1993,PRH,PUP,1
12/17/1993,PRH,IMM,66
12/23/1993,PRH,BULL-SA4,3
12/23/1993,PRH,SA1-3,21
12/23/1993,PRH,COW,7
12/23/1993,PRH,PUP,1
12/23/1993,PRH,IMM,122
12/25/1993,PRH,BULL-SA4,4
12/25/1993,PRH,SA1-3,76
12/25/1993,PRH,COW,11
12/25/1993,PRH,PUP,2
12/25/1993,PRH,IMM,20
12/26/1993,PRH,BULL-SA4,5
12/26/1993,PRH,SA1-3,52
12/26/1993,PRH,COW,16
12/26/1993,PRH,PUP,3
12/26/1993,PRH,IMM,33
1/6/1994,PRH,BULL-SA4,8
1/6/1994,PRH,SA1-3,52
1/6/1994,PRH,COW,76
1/6/1994,PRH,PUP,25
1/6/1994,PRH,IMM,38
1/14/1994,PRH,BULL-SA4,8
1/14/1994,PRH,SA1-3,47
1/14/1994,PRH,COW,141
1/14/1994,PRH,PUP,93
1/14/1994,PRH,IMM,20
2/9/1994,PRH,BULL-SA4,8
2/9/1994,PRH,SA1-3,17
2/9/1994,PRH,COW,154
2/9/1994,PRH,PUP,138
2/9/1994,PRH,DEADPUP,5
2/9/1994,PRH,WNR,74
2/9/1994,PRH,IMM,2
2/11/1994,PRH,BULL-SA4,10
